"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
id,intro,,text,"<div class=""rich-text-field-label""><p> Study ID:</p></div>",,101-999,,,,,,,,,,,
id_confirm,intro,,text,"<div class=""rich-text-field-label""><p>CONFIRM PARTICIPANT ID<br /><br /></p> <p> </p></div>",,101-999,number,101,999,,,,,,,,
screening_date,intro,,text,"<div class=""rich-text-field-label""><p>Date of Interview<br /><br /></p></div>",,,date_mdy,,,,,y,,,,,
initials,intro,,text,"Enter interviewer's initials",,,,,,,,,,,,,
screener_intro,screener_info,,descriptive,"<div class=""rich-text-field-label""><p>Thank you for coming to your first study visit. <br /><br />I would like to ask you some initial questions to confirm your eligibility for the study. If you are eligible, we will then review all study procedures in detail and I'll ask you to sign an informed consent document.<br /><br />If, after asking you these initial questions, we find that you are not eligible, we will only make a note of your sex, age, and ethnicity and the reason you were not eligible. Even if you are not eligible, you will receive $5 for today's visit.</p> <p> </p> <p> </p></div>",,,,,,,,,,,,,
s0,screener_info,,yesno,"<div class=""rich-text-field-label""><p>Would you like to continue?</p></div>",,,,,,,,,,,,,
s1_dob,screener_info,,text,"<div class=""rich-text-field-label""><p>What is your date of birth?</p> <p>[agecalc]</p></div>",,,date_mdy,,,y,,y,,,,,
agecalc,screener_info,,calc,"<div class=""rich-text-field-label""><p>Age</p> <p> </p></div>","datediff([s1_dob],[screening_date],""y"")",,,,,,,,,,,,
pref_lang_v2,screener_info,,radio,"<div class=""rich-text-field-label""><p>What is your preferred language?</p></div>","1, English | 2, Spanish",,,,,,,,,,,,
s2,screener_info,,radio,"<div class=""rich-text-field-label""><p>Do you identify as a man or a woman?</p></div>","1, Man (include transman) | 2, Woman (include transwoman) | 3, Non-Binary | 4, Other | -98, Don't know",,,,,,,,,,,,
s2_other,screener_info,,text,"Specify  'other' gender",,,,,,,"[s2] = '4'",,,,,,
s3,screener_info,,radio,"<div class=""rich-text-field-label""><p>What sex were you at birth?</p></div>","1, Male | 2, Female | 3, Intersex | -98, Don't know",,,,,,,,,,,,
s4,screener_info,,checkbox,"<div class=""rich-text-field-label""><p>What group or groups best describe your race or ethnic origin? (CHECK ALL THAT APPLY.)</p></div>","1, Black / African American | 2, Latino / Hispanic / Latin American | 3, White | 4, Middle Eastern (Arab, Israeli) | 5, Asian | 6, Pacific Islander | 7, Native American / American Indian | 8, Other {race_eth_other} | -98, Don't know",,,,,,,,,,,,
race_eth_other,screener_info,,text,"Specify other Race/Ethnicity",,,,,,,,,,,,,
multi_racial,screener_info,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #ba372a;"">DID THE PARTICIPANT ENDORSE MORE THAN 1 RACE/ETHNICITY</span></p></div>","1, Yes | 2, No",,,,,,,,,,,,
s5,screener_info,,radio,"<div class=""rich-text-field-label""><p>You chose more than one group, please choose the single group with which you most strongly identify or that best describes your race or ethnic orgin.<br /><br /><br /></p></div>","1, Black / African American | 2, Latino / Hispanic / Latin American | 3, White | 4, Middle Eastern (Arab, Israeli) | 5, Asian | 6, Pacific Islander | 7, Native American / American Indian | 8, Other | 9, Refuse to select one | -98, Don't know",,,,,,"[multi_racial] = '1'",,,,,,
s5a,screener_info,,text,"<div class=""rich-text-field-label""><p>What other race or ethnicity best describes you?</p></div>",,,,,,,"[s5] = '8'",,,,,,
s6,screener_info,,radio,"<div class=""rich-text-field-label""><p>What is your current marital status?</p> <p> </p> <p> </p></div>","1, Legally married | 2, Not married, but living with a partner | 3, In a relationship, but not living together | 4, Separated | 5, Divorced | 6, Widowed | 7, Never married | -98, Don't  know",,,,,,,,,,,,
staying_now_v2,screener_info,,radio,"Where did you stay last night?	
","1, On the streets, in a park, in a vehicle, in an abandoned building, in a bus/train/BART station/airport, or anywhere outside or inside not meant for human habitation | 2, In a garage, backyard, porch, shed, or driveway | 3, In a homeless Shelter for single adults or families | 4, In a hotel or motel or campground paid for by an agency, church other service provider for a short stay of 1 week or less | 5, In transitional housing for homeless adults or families (where you pay rent and can live up to two years and receive services) | 6, In a room, apartment or house where you exchange sex for rent | 7, In a room, apartment or house where you exchange work for rent | 8, In permanent housing for formerly homeless people | 9, In a hotel or motel paid for by you or a family member where you stayed for less than 30 days in a row | 10, In a hotel or motel room paid for by you or a family member where you had stayed for more than 30 day in a rows | 11, In a room, apartment or house that you rent | 12, In an apartment, condo or house that you own | 13, Stayed with family or friends for free | 14, Stayed with family or friends and paid them to stay there | 15, In a hospital for a medical or surgical problem | 16, In a psychiatric hospital or mental health facility | 17, In a Nursing home | 18, In a Room and Board | 19, Drug and/or alcohol residential treatment program | 20, In a group home/halfway house/sober living facility for people with mental health and/or substance use problems | 22, In Jail or in Prison | 23, In a halfway house for people coming out of prison | 24, Other Housed {other_staying_now} | 25, Other Unhoused {other_staying_now_v2}",,,,,,"[agecalc] >= 50",,,,,,
other_staying_now,screener_info,,text,"Other place staying now",,,,,,,,,,,,,
other_staying_now_v2,screener_info,,text,"Other place staying now",,,,,,,,,,,,,
post_inst_v2,screener_info,,radio,"<div class=""rich-text-field-label""><p>Where are you staying tonight?<br /><span style=""color: #ba372a;"">Institution</span></p> <p> </p> <p><span style=""color: #ba372a;"">If ppt does not know, ask where they think they will stay.</span></p></div>","1, Institution (the same as last night or any other type) | 2, Homeless (shelter, streets, vehicle, etc) | 3, Housing | 4, With Family or friends (couchsurfing)",,,,,,"[staying_now_v2] = '23' or [staying_now_v2] = '22' or [staying_now_v2] = '20' or [staying_now_v2] = '19' or [staying_now_v2] = '19' or [staying_now_v2] = '17' or [staying_now_v2] = '16' or [staying_now_v2] = '15'",,,,,,
leave_in_14_v2,screener_info,,radio,"Are you able to stay in this place for the next 14 days without being asked to leave?","1, Yes | 2, No | 3, I don't know",,,,,,"[staying_now_v2] = '6' or [staying_now_v2] = '7' or [staying_now_v2] = '8' or [staying_now_v2] = '9' or [staying_now_v2] = '10' or [staying_now_v2] = '11' or [staying_now_v2] = '12' or [staying_now_v2] = '13' or [staying_now_v2] = '14' or [staying_now_v2] = '24' or [post_inst_v2] = '3' or [post_inst_v2] = '4' or [post_inst_v2] = '1'",,,,,,
someplace_else_v2,screener_info,,radio,"<div class=""rich-text-field-label""><p>Do you have someplace else (other than homelessness) you can stay?<br /><br /></p></div>","1, Yes | 2, No",,,,,,"[leave_in_14_v2] = '2' or [leave_in_14_v2] = '3'",,,,,,
s11,screener_info,,descriptive,"<div class=""rich-text-field-label""><p>THANK YOU VERY MUCH FOR YOUR INTEREST IN OUR STUDY AND FOR ANSWERING OUR QUESTIONS. AT THIS TIME, YOU ARE NOT ELIGIBLE TO PARTICIPATE.</p></div>",,,,,,,"[agecalc] < 50
or
[leave_in_14_v2] = '1' 
or 
[someplace_else_v2] = '1'",,,,,,
s10,screener_info,,descriptive,"<div class=""rich-text-field-label""><p>PARTICIPANT IS ELIGIBLE. PROCEED TO INFORMED CONSENT AND SCHEDULE BASELINE VISIT.</p></div>",,,,,,,"[staying_now_v2] = '1' or [staying_now_v2] = '2' or [staying_now_v2] = '3' or [staying_now_v2] = '4' or [staying_now_v2] = '5' or [staying_now_v2] = '25' 
or
[post_inst_v2] = '2'
or
[someplace_else_v2] = '2'",,,,,,
s12,screener_info,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Did participant consent to be in the study?</span></p></div>","1, Yes | 2, No, participant declined | 3, No, participant unable to give informed consent",,,,,,"[staying_now_v2] = '1' or [staying_now_v2] = '2' or [staying_now_v2] = '3' or [staying_now_v2] = '4' or [staying_now_v2] = '5' or [staying_now_v2] = '25' 
or
[post_inst_v2] = '2'
or
[someplace_else_v2] = '2'",,,,,,
not_consentable,screener_info,,notes,"Why was ppt unable to give informed consent?",,,,,,,"[s12] = '3'",,,,,,
last_night_broad,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p>Where did you stay last night?<br /><br /></p></div>","1, On the streets, someplace not meant for habitation, or in a shelter/respite, including vehicular homelessness | 2, In transitional housing for homeless adults where you pay rent and can live temporarily and receive services (like The Henry Robinson) | 3, In permanent housing for formerly homeless people (""Permanent Supportive Housing,"" like Shelter Plus Care, The Harrison Hotel, or UA Homes) | 4, In a motel or hotel room | 7, In an apartment, house, or mobile home that is hooked up to services at a trailer park | 8, In an institution | 9, In a ""Tiny Home"", ""Tuff Shed"", or ""Community Cabin""",,,,,,,,,,,,
h0,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p>Please tell me where you slept last night</p></div>","2, In a Residential Hotel that is not operated as Permanent Supportive Housing (pays rent, on a lease) | 4, In a motel or hotel room (standard hotel/ motel operated by a business) | 5, Motel, hotel, or trailer paid for by the government or an organization to protect you from COVID (also called a shelter-in-place/SIP hotel or Project Roomkey) | 6, A hotel where you have your name on a lease, stay long term, and there are services available, even if you don't use them (PSH) | 7, A hotel where formerly homeless adults can stay for up to 2 years and receive services (transitional housing) | 8, Other (DO NOT USE THIS OPTION!!)",,,,,,"[last_night_broad] = '4'",,,,,,
last_night,housing_hh2bl_housing_modified,,text,"Specify 'other' place ",,,,,,,"[h0] = '8'",,,,,,
h0a,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p>Was where you stayed...</p></div>","1, On the streets, in a park, or anywhere outside | 2, In an abandoned building, garage (not converted) or anywhere else inside not meant for people to sleep or live | 7, In a car, vehicle, or RV not hooked up to services | 3, In a homeless shelter for single adults or families | 4, In a domestic violence shelter, safe house, or other emergency housing for people who are fleeing domestic violence | 5, Motel, hotel, or trailer paid for by the government or an organization to protect you from COVID (also called a shelter-in-place/SIP hotel or Project Roomkey) | 6, A respite shelter where homeless people can stay while recovering from a medical issue | -98, Don't know | -99, Refused",,,,,,"[last_night_broad] = '1'",,,,,,
safe_park,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">What type of vehicle did you stay in last night?</span></p> <p> </p> <p> </p></div>","1, Car | 2, Van or truck | 3, RV | 4, School bus or other converted commercial vehicle",,,,,,"[h0a] = '7'",,,,,,
safe_park_2,housing_hh2bl_housing_modified,,radio,"Where did you park your vehicle last night?
","1, On the street | 2, Private property (including a driveway, backyard, or private parking lot) | 3, Public rest stop | 4, Safe parking site or authorized overnight parking lot for people who live in their vehicles | -98, Don't know | -99, Refused",,,,,,"[h0a] = '7'",,,,,,
h0b_a,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">How many nights in a row have you stayed in a hotel or motel room?</span></p></div>","1, 7 days or less | 2, 8 to 29 days | 3, 30 days or more | -1, Don't know/Refused",,,,,,"[last_night_broad] = '4'",,,,,,
h0b_b,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p><span style=""color: #000000;"">Did you have a voucher from an agency to pay for the room?</span></p></div>","1, Yes | 2, No | -1, Don't know/Refused",,,,,,"[last_night_broad] = '4'",,,,,,
h0b_c,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p>Have any programs helped you pay to stay there with assistance such as a housing voucher.</p> <p>Don't include help from friends, family, or a church.</p> <p>Don't include help that you received one time only, like help with a single payment or for 1 month or less.</p> <p><span style=""color: #236fa1;""><span style=""font-weight: normal;"">A </span>subsidy to include<span style=""font-weight: normal;"">, for example, is where you pay one-third of your income toward rent.</span></span></p></div>","1, Yes | 2, No | -1, Don't know/Refused",,,,,,"[last_night_broad] = '4'",,,,,,
h0c,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p>Was that apartment, house, or trailer...</p></div>","1, In a room you rent in a house or apartment (includes SRO/residential hotel) | 2, In an apartment or house you rent | 3, In an apartment, condo, or house that you own | 4, Stayed with family or friends for free | 5, Stayed with family or friends and paid them to stay there | 6, In a room, apartment or house where you	exchange work for rent | 7, In a room, apartment or house where you	exchanged sex for rent | 8, In a mobile home hooked up to services at an RV Park | -98, Don't know | -99, Refused",,,,,,"[last_night_broad] = '7'",,,,,,
h0d,housing_hh2bl_housing_modified,,radio,"<div class=""rich-text-field-label""><p>Was that...</p> <p><span style=""color: #236fa1;"">(institution)</span></p></div>","1, In a hospital for a medical or surgical problem | 2, In a psychiatric hospital or mental health | 3, In a nursing home | 4, In a Room and Board | 5, In a drug and/or alcohol detox program (like Cherry Hill) | 6, In a drug and/or alcohol residential treatment program | 7, In a group home, halfway house, or sober living facility for example, housing run by an agency for people who are exiting prison or substance use treatment | 10, In a respite shelter where homeless people can stay while recovering from a medical issue | 8, In City/County jail | 9, In prison | -98, Don't know | -99, Refused",,,,,,"[last_night_broad] = '8'",,,,,,
stay_last_night_name,housing_hh2bl_housing_modified,,text,"<div class=""rich-text-field-label""><p>In order to make your next interview a little easier, what would you like to call the place that you stayed last night? this can be as specific or general as you are comfortable with.</p> <p> </p> <p>Examples are: A West Oakland Shelter, City Team shelter, My apartment on Main St, 1234 Main St, My brother's house, My car, My tent, my Unit at the California Hotel, etc.</p></div>",,,,,,,,,,,,,
